TOK_MAIN	main
TOK_INT	int
TOK_BOOLEAN	boolean
TOK_IF	if
TOK_ELSE	else
TOK_WHILE	while
TOK_SCANF	scanf
TOK_PRINTF	printf
TOK_PUNTOYCOMA	;
TOK_PARENTESISIZQUIERDO	(
TOK_PARENTESISDERECHO	)
TOK_LLAVEIZQUIERDA	{
TOK_LLAVEDERECHA	}
TOK_ASIGNACION	=
TOK_MAS	+
TOK_MENOS	-
TOK_DIVISION	/
TOK_ASTERISCO	*
TOK_AND	&&
TOK_OR	||
TOK_NOT	!
TOK_IGUAL	==
TOK_DISTINTO	!=
TOK_MENORIGUAL	<=
TOK_MAYORIGUAL	>=
TOK_MENOR	<
TOK_MAYOR	>
TOK_IDENTIFICADOR	identificador
TOK_IDENTIFICADOR	a
TOK_IDENTIFICADOR	v8
TOK_CONSTANTE_ENTERA	1234
TOK_CONSTANTE_ENTERA	09
TOK_CONSTANTE_ENTERA	5
TOK_TRUE	true
TOK_FALSE	false
